economy,sample_size,pct_account,pct_mobile_money,pct_digital,pct_saved,pct_borrowed
Afghanistan,1002,11.776447105788424,0.0,0.0,7.285429141716566,64.87025948103793
Albania,1000,42.9,0.0,0.0,30.0,39.1
Algeria,1002,65.16966067864271,0.0,0.0,57.784431137724546,41.61676646706587
Argentina,1003,81.95413758723828,44.56630109670987,0.0,44.16749750747756,60.817547357926216
Armenia,1000,55.60000000000001,14.799999999999999,0.0,35.0,54.0
Australia,1000,99.6,0.0,0.0,82.1,71.39999999999999
Austria,1000,99.9,0.0,0.0,92.7,65.2
Azerbaijan,1008,50.99206349206349,0.0,0.0,19.940476190476193,53.273809523809526
Bangladesh,1000,52.900000000000006,27.900000000000002,0.0,23.0,48.5
Belgium,1012,99.30830039525692,0.0,0.0,74.1106719367589,57.608695652173914
Benin,1000,52.800000000000004,40.699999999999996,0.0,50.4,48.3
Bolivia,1000,75.6,18.099999999999998,0.0,63.7,51.7
Bosnia and Herzegovina,1000,87.3,0.0,0.0,53.900000000000006,45.1
Botswana,1000,66.9,47.5,0.0,56.599999999999994,49.2
Brazil,1002,90.21956087824351,36.227544910179645,0.0,52.19560878243513,65.96806387225548
Bulgaria,1005,90.74626865671642,0.0,0.0,58.805970149253724,48.45771144278607
Burkina Faso,1000,45.300000000000004,31.5,0.0,51.800000000000004,49.9
Cambodia,1000,29.299999999999997,4.7,0.0,29.5,59.0
Cameroon,1000,56.10000000000001,46.300000000000004,0.0,60.4,59.599999999999994
Canada,1007,99.80139026812313,0.0,0.0,80.73485600794439,89.17576961271102
Chad,1000,29.299999999999997,16.1,0.0,40.8,54.7
Chile,1000,85.8,0.0,0.0,51.4,38.3
China,3500,94.51428571428572,0.0,0.0,68.2,60.199999999999996
Colombia,1000,67.30000000000001,29.099999999999998,0.0,41.6,51.6
Comoros,1000,41.199999999999996,8.6,0.0,42.699999999999996,43.1
"Congo, Dem. Rep.",1000,39.6,32.6,0.0,46.6,54.400000000000006
"Congo, Rep.",1000,51.6,40.699999999999996,0.0,48.3,43.0
Costa Rica,1001,75.02497502497502,0.0,0.0,52.74725274725275,42.45754245754246
Croatia,1001,95.2047952047952,0.0,0.0,51.34865134865135,51.64835164835166
Cyprus,1019,96.76153091265947,0.0,0.0,48.57703631010795,48.67517173699706
Czechia,1005,97.71144278606965,0.0,0.0,86.86567164179104,41.99004975124378
Côte d'Ivoire,1000,57.199999999999996,46.0,0.0,48.4,47.099999999999994
Denmark,1002,100.0,0.0,0.0,89.62075848303394,64.07185628742515
Dominican Republic,1000,55.60000000000001,7.6,0.0,36.9,47.099999999999994
Ecuador,1000,70.5,0.0,0.0,45.1,53.2
"Egypt, Arab Rep.",1003,34.59621136590229,3.389830508474576,0.0,22.6321036889332,43.868394815553344
El Salvador,1002,38.622754491017965,10.27944111776447,0.0,38.32335329341318,30.039920159680637
Estonia,1001,99.6003996003996,0.0,0.0,82.31768231768231,50.14985014985015
Eswatini,1000,74.4,63.4,0.0,62.6,80.10000000000001
Ethiopia,1000,53.7,6.1,0.0,57.9,42.8
Finland,1000,99.9,0.0,0.0,79.60000000000001,68.4
France,1000,99.6,0.0,0.0,74.2,52.800000000000004
Gabon,1020,78.23529411764706,66.47058823529412,0.0,72.05882352941177,60.09803921568627
"Gambia, The",1000,36.3,4.5,0.0,51.9,55.2
Georgia,1000,73.5,8.3,0.0,23.3,38.6
Germany,1000,99.9,0.0,0.0,83.7,64.9
Ghana,1000,75.0,67.80000000000001,0.0,72.89999999999999,53.300000000000004
Greece,1003,97.60717846460618,0.0,0.0,51.844466600199404,52.44267198404786
Guatemala,1000,38.5,5.3,0.0,34.5,34.599999999999994
Guinea,1000,36.3,27.400000000000002,0.0,51.300000000000004,58.4
Honduras,1000,38.800000000000004,8.200000000000001,0.0,29.799999999999997,35.6
"Hong Kong SAR, China",1003,98.30508474576271,0.0,0.0,71.48554336989032,77.86640079760718
Hungary,1003,91.42572283150548,0.0,0.0,66.79960119641076,31.704885343968098
Iceland,502,100.0,0.0,0.0,88.24701195219123,85.65737051792829
India,3000,79.06666666666666,12.133333333333333,0.0,24.933333333333334,45.43333333333333
Indonesia,1062,54.70809792843691,8.56873822975518,0.0,53.578154425612055,42.46704331450094
"Iran, Islamic Rep.",1005,92.53731343283582,11.940298507462686,0.0,44.67661691542288,60.895522388059696
Iraq,1012,20.454545454545457,6.324110671936759,0.0,39.32806324110672,50.790513833992094
Ireland,1000,99.6,0.0,0.0,86.1,63.2
Israel,1000,93.0,0.0,0.0,67.9,83.0
Italy,1000,98.8,0.0,0.0,77.0,59.8
Jamaica,502,73.30677290836654,12.151394422310757,0.0,63.54581673306773,33.266932270916335
Japan,1010,99.00990099009901,0.0,0.0,82.57425742574257,64.75247524752476
Jordan,1009,54.80673934588701,13.478691774033697,0.0,28.047571853320118,54.31119920713577
Kazakhstan,1000,84.1,0.0,0.0,43.2,51.5
Kenya,1000,81.0,70.6,0.0,68.60000000000001,77.7
"Korea, Rep.",1011,99.30761622156281,0.0,0.0,70.5242334322453,77.34915924826905
Kosovo,1000,64.2,0.0,0.0,41.6,39.800000000000004
Kyrgyz Republic,1000,50.5,11.0,0.0,34.4,43.0
Lao PDR,1000,40.9,5.7,0.0,57.49999999999999,42.1
Latvia,1006,98.01192842942345,0.0,0.0,73.558648111332,40.85487077534791
Lebanon,1022,21.62426614481409,0.0,0.0,17.22113502935421,31.506849315068493
Lesotho,1025,68.19512195121952,49.853658536585364,0.0,54.34146341463415,60.97560975609756
Liberia,1000,54.6,40.1,0.0,61.5,62.6
Lithuania,1009,97.1258671952428,0.0,0.0,72.64618434093163,27.651139742319124
Madagascar,1000,30.7,22.6,0.0,32.7,44.9
Malawi,1000,47.599999999999994,38.5,0.0,55.300000000000004,54.6
Malaysia,1000,91.5,24.5,0.0,71.1,31.1
Mali,1000,46.5,32.7,0.0,58.199999999999996,48.699999999999996
Malta,1000,97.5,0.0,0.0,74.9,51.2
Mauritania,1000,28.7,12.0,0.0,40.6,57.3
Mauritius,1000,93.5,17.299999999999997,0.0,63.7,37.9
Mexico,1000,43.3,13.900000000000002,0.0,35.3,33.900000000000006
Moldova,1000,61.6,0.0,0.0,52.6,45.800000000000004
Mongolia,1000,98.8,55.00000000000001,0.0,42.4,51.1
Morocco,1000,53.5,7.7,0.0,41.0,60.699999999999996
Mozambique,1000,62.4,42.3,0.0,51.9,55.00000000000001
Myanmar,1000,63.9,44.4,0.0,56.39999999999999,35.699999999999996
Namibia,1000,77.0,51.4,0.0,59.8,68.8
Nepal,1000,58.199999999999996,6.7,0.0,36.3,52.5
Netherlands,1000,99.9,0.0,0.0,82.1,46.5
New Zealand,1000,99.4,0.0,0.0,86.6,73.6
Nicaragua,1007,28.599801390268127,6.752730883813307,0.0,37.93445878848063,41.41012909632572
Niger,1000,14.799999999999999,6.800000000000001,0.0,29.299999999999997,57.99999999999999
Nigeria,1000,61.9,15.2,0.0,63.7,56.3
North Macedonia,1003,88.83349950149551,0.0,0.0,41.874376869391824,44.96510468594217
Norway,1001,99.9000999000999,0.0,0.0,91.80819180819181,82.11788211788212
Pakistan,1002,23.652694610778443,8.982035928143713,0.0,16.766467065868262,33.433133732534934
Panama,1002,47.70459081836327,0.0,0.0,40.41916167664671,28.74251497005988
Paraguay,1000,52.2,34.8,0.0,19.6,33.0
Peru,1000,58.4,13.4,0.0,35.8,42.699999999999996
Philippines,1000,62.7,30.0,0.0,64.5,61.199999999999996
Poland,1001,97.002997002997,0.0,0.0,64.13586413586414,48.15184815184816
Portugal,1002,95.90818363273453,0.0,0.0,69.56087824351297,42.91417165668663
Romania,1001,76.72327672327673,0.0,0.0,49.25074925074925,42.357642357642355
Russian Federation,2011,91.89457981103928,34.162108403779214,0.0,39.781203381402285,53.9035305818001
Saudi Arabia,1019,78.60647693817468,0.0,0.0,66.33954857703631,61.43277723258096
Senegal,1000,64.60000000000001,54.6,0.0,61.7,52.1
Serbia,1001,92.8071928071928,0.0,0.0,50.94905094905094,51.14885114885115
Sierra Leone,1001,33.56643356643357,21.77822177822178,0.0,52.34765234765235,54.94505494505495
Singapore,1000,97.2,27.900000000000002,0.0,85.39999999999999,43.8
Slovak Republic,1005,97.11442786069652,0.0,0.0,81.69154228855722,46.46766169154229
Slovenia,1000,99.5,0.0,0.0,69.89999999999999,54.2
South Africa,1014,88.75739644970415,41.61735700197239,0.0,64.00394477317555,61.93293885601578
South Sudan,1001,7.492507492507492,1.2987012987012987,0.0,22.977022977022976,40.95904095904096
Spain,1000,99.2,0.0,0.0,80.0,60.8
Sri Lanka,1005,93.93034825870646,5.3731343283582085,0.0,58.60696517412936,51.741293532338304
Sweden,1006,99.80119284294234,0.0,0.0,88.17097415506959,59.84095427435388
Switzerland,1000,99.6,0.0,0.0,83.1,66.60000000000001
"Taiwan, China",1000,98.0,0.0,0.0,83.0,79.5
Tajikistan,1000,46.1,2.1999999999999997,0.0,20.1,33.800000000000004
Tanzania,1001,57.84215784215784,49.75024975024975,0.0,53.14685314685315,49.150849150849155
Thailand,1017,98.03343166175024,69.91150442477876,0.0,78.66273352999016,64.40511307767946
Togo,1000,56.8,42.3,0.0,57.8,48.0
Tunisia,1000,43.9,4.9,0.0,47.0,51.0
Türkiye,1000,80.4,22.8,0.0,26.400000000000002,68.4
Uganda,1000,68.60000000000001,57.9,0.0,71.7,75.5
Ukraine,1001,88.41158841158841,0.0,0.0,40.95904095904096,60.239760239760244
United Arab Emirates,1000,85.8,12.9,0.0,33.1,43.5
United Kingdom,1000,99.7,0.0,0.0,81.39999999999999,60.6
United States,1007,97.02085402184707,0.0,0.0,82.025819265144,81.03277060575968
Uruguay,1000,75.6,0.0,0.0,35.8,55.1
Uzbekistan,1000,48.6,0.0,0.0,28.499999999999996,30.5
"Venezuela, RB",1000,88.5,37.2,0.0,46.2,44.7
Vietnam,1000,53.800000000000004,15.1,0.0,49.7,28.000000000000004
West Bank and Gaza,1000,38.5,2.5,0.0,30.099999999999998,42.6
"Yemen, Rep.",1000,19.900000000000002,0.0,0.0,26.400000000000002,57.4
Zambia,1000,55.7,47.8,0.0,56.49999999999999,61.5
Zimbabwe,1000,60.199999999999996,51.300000000000004,0.0,51.300000000000004,52.7
